status,temp,date
closed,31.72584,13-06-2024 00:00:05
status,temp,date
closed,31.72584,13-06-2024 00:00:06
status,temp,date
closed,32.19402,13-06-2024 00:00:07
status,temp,date
closed,31.72584,13-06-2024 00:00:08
status,temp,date
closed,31.72584,13-06-2024 00:00:09
status,temp,date
closed,31.72584,13-06-2024 00:00:10
status,temp,date
closed,31.72584,13-06-2024 00:00:11
status,temp,date
closed,31.72584,13-06-2024 00:00:11
status,temp,date
closed,31.72584,13-06-2024 00:00:12
status,temp,date
closed,31.72584,13-06-2024 00:00:14
status,temp,date
closed,31.72584,13-06-2024 00:00:15
status,temp,date
closed,31.72584,13-06-2024 00:00:16
status,temp,date
closed,31.72584,13-06-2024 00:00:17
status,temp,date
closed,31.72584,13-06-2024 00:00:19
status,temp,date
closed,31.72584,13-06-2024 00:00:20
status,temp,date
closed,31.72584,13-06-2024 00:00:21
status,temp,date
closed,31.72584,13-06-2024 00:00:21
status,temp,date
closed,31.72584,13-06-2024 00:00:22
status,temp,date
closed,31.72584,13-06-2024 00:00:23
status,temp,date
closed,31.72584,13-06-2024 00:00:24
status,temp,date
closed,31.72584,13-06-2024 00:00:25
status,temp,date
closed,31.72584,13-06-2024 00:00:25
status,temp,date
closed,31.72584,13-06-2024 00:00:26
status,temp,date
closed,31.72584,13-06-2024 00:00:27
status,temp,date
closed,31.72584,13-06-2024 00:00:27
status,temp,date
closed,31.72584,13-06-2024 00:00:28
status,temp,date
closed,31.72584,13-06-2024 00:00:29
status,temp,date
closed,31.72584,13-06-2024 00:00:30
status,temp,date
closed,31.72584,13-06-2024 00:00:31
status,temp,date
closed,31.72584,13-06-2024 00:00:32
status,temp,date
closed,31.2577,13-06-2024 00:00:32
status,temp,date
closed,31.72584,13-06-2024 00:00:33
status,temp,date
closed,31.72584,13-06-2024 00:00:34
status,temp,date
closed,31.72584,13-06-2024 00:00:35
status,temp,date
closed,31.72584,13-06-2024 00:00:36
status,temp,date
closed,31.72584,13-06-2024 00:00:36
status,temp,date
closed,31.72584,13-06-2024 00:00:37
status,temp,date
closed,31.72584,13-06-2024 00:00:38
status,temp,date
closed,31.72584,13-06-2024 00:00:39
status,temp,date
closed,31.72584,13-06-2024 00:00:39
status,temp,date
closed,31.72584,13-06-2024 00:00:40
status,temp,date
closed,31.72584,13-06-2024 00:00:41
status,temp,date
closed,32.19402,13-06-2024 00:00:41
status,temp,date
closed,31.72584,13-06-2024 00:00:42
status,temp,date
closed,31.72584,13-06-2024 00:00:43
status,temp,date
closed,31.72584,13-06-2024 00:00:44
status,temp,date
closed,31.72584,13-06-2024 00:00:45
status,temp,date
closed,31.72584,13-06-2024 00:00:46
status,temp,date
closed,31.72584,13-06-2024 00:00:46
status,temp,date
closed,31.72584,13-06-2024 00:00:47
status,temp,date
closed,31.72584,13-06-2024 00:00:48
status,temp,date
closed,31.72584,13-06-2024 00:00:49
status,temp,date
closed,31.72584,13-06-2024 00:00:50
status,temp,date
closed,31.72584,13-06-2024 00:00:50
status,temp,date
closed,31.72584,13-06-2024 00:00:51
status,temp,date
closed,31.72584,13-06-2024 00:00:52
status,temp,date
closed,31.72584,13-06-2024 00:00:53
status,temp,date
closed,31.72584,13-06-2024 00:00:54
status,temp,date
