,temp,door
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.32144,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.32144,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.32144,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,30.78955,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
