title,body,severity,date
Sensor having connectivity issues,"No response from Back door at House for a while, please contact Dimitri",warning,13-06-2024 00:00:03
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Garage for a while, please contact Dimitri",warning,13-06-2024 00:00:03
title,body,severity,date
Sensor having connectivity issues,"No response from Living room at House for a while, please contact Dimitri",warning,13-06-2024 00:00:03
title,body,severity,date
Sensor having connectivity issues,"No response from Dining room at House for a while, please contact Dimitri",warning,13-06-2024 00:00:03
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Shed for a while, please contact Dimitri",warning,13-06-2024 00:06:44
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Stables for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Garage for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at Stables for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Dining room at House for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at House for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Living room at House for a while, please contact Dimitri",warning,13-06-2024 00:06:46
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at House for a while, please contact Dimitri",warning,13-06-2024 00:06:47
title,body,severity,date
Sensor having connectivity issues,"No response from Dining room at House for a while, please contact Dimitri",warning,13-06-2024 09:39:54
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Garage for a while, please contact Dimitri",warning,13-06-2024 09:39:55
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at House for a while, please contact Dimitri",warning,13-06-2024 09:39:55
title,body,severity,date
Sensor having connectivity issues,"No response from Dining room at House for a while, please contact Dimitri",warning,13-06-2024 09:40:36
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at Stables for a while, please contact Dimitri",warning,13-06-2024 09:40:36
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Shed for a while, please contact Dimitri",warning,13-06-2024 09:40:36
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at House for a while, please contact Dimitri",warning,13-06-2024 09:40:37
title,body,severity,date
Sensor having connectivity issues,"No response from Living room at House for a while, please contact Dimitri",warning,13-06-2024 09:40:37
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at House for a while, please contact Dimitri",warning,13-06-2024 09:40:53
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Garage for a while, please contact Dimitri",warning,13-06-2024 09:41:15
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at Stables for a while, please contact Dimitri",warning,13-06-2024 09:41:15
title,body,severity,date
Sensor having connectivity issues,"No response from Back door at House for a while, please contact Dimitri",warning,13-06-2024 09:41:31
title,body,severity,date
Sensor having connectivity issues,"No response from Living room at House for a while, please contact Dimitri",warning,13-06-2024 09:41:31
title,body,severity,date
Sensor having connectivity issues,"No response from Dining room at House for a while, please contact Dimitri",warning,13-06-2024 09:41:40
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at House for a while, please contact Dimitri",warning,13-06-2024 09:42:03
title,body,severity,date
Sensor having connectivity issues,"No response from Front door at Stables for a while, please contact Dimitri",warning,13-06-2024 09:42:07
