temperature,door_state,date
27.0444,open,19-05-2024 15:34:01
30.32144,open,19-05-2024 15:34:02
30.32144,open,19-05-2024 15:34:02
29.85327,open,19-05-2024 15:34:03
30.32144,open,19-05-2024 15:34:03
29.85327,open,19-05-2024 15:34:04
30.32144,open,19-05-2024 15:34:05
29.85327,open,19-05-2024 15:34:05
29.85327,open,19-05-2024 15:34:06
29.85327,open,19-05-2024 15:34:07
29.85327,open,19-05-2024 15:34:07
29.85327,open,19-05-2024 15:34:08
30.32144,open,19-05-2024 15:34:09
30.32144,open,19-05-2024 15:34:09
30.32144,open,19-05-2024 15:34:10
30.32144,open,19-05-2024 15:34:11
29.85327,open,19-05-2024 15:34:15
30.32144,open,19-05-2024 15:34:15
30.32144,open,19-05-2024 15:34:16
30.32144,open,19-05-2024 15:34:16
30.32144,open,19-05-2024 15:34:17
30.32144,open,19-05-2024 15:34:17
30.32144,open,19-05-2024 15:34:18
30.32144,open,19-05-2024 15:34:18
30.32144,open,19-05-2024 15:34:19
29.85327,open,19-05-2024 15:34:19
30.32144,open,19-05-2024 15:34:20
30.32144,open,19-05-2024 15:34:20
29.85327,open,19-05-2024 15:34:20
30.32144,open,19-05-2024 15:34:21
29.85327,open,19-05-2024 15:34:21
30.32144,open,19-05-2024 15:34:22
29.85327,open,19-05-2024 15:34:22
29.85327,open,19-05-2024 15:34:23
30.32144,open,19-05-2024 15:34:24
30.32144,open,19-05-2024 15:34:24
30.32144,open,19-05-2024 15:34:25
30.32144,open,19-05-2024 15:34:25
29.85327,open,19-05-2024 15:34:26
30.32144,open,19-05-2024 15:34:26
30.32144,open,19-05-2024 15:34:27
30.32144,open,19-05-2024 15:34:27
30.32144,open,19-05-2024 15:34:28
30.32144,open,19-05-2024 15:34:28
30.32144,open,19-05-2024 15:34:29
29.85327,open,19-05-2024 15:34:29
30.32144,open,19-05-2024 15:34:30
29.85327,open,19-05-2024 15:34:30
30.32144,open,19-05-2024 15:34:31
29.85327,open,19-05-2024 15:34:31
30.32144,open,19-05-2024 15:34:31
30.32144,open,19-05-2024 15:34:32
30.32144,open,19-05-2024 15:34:32
30.32144,open,19-05-2024 15:34:33
30.32144,open,19-05-2024 15:34:33
30.32144,open,19-05-2024 15:34:34
30.32144,open,19-05-2024 15:34:34
29.85327,open,19-05-2024 15:34:35
30.32144,open,19-05-2024 15:34:35
30.32144,open,19-05-2024 15:34:36
30.32144,open,19-05-2024 15:34:36
30.32144,open,19-05-2024 15:34:37
30.32144,open,19-05-2024 15:34:37
30.32144,open,19-05-2024 15:34:38
30.32144,open,19-05-2024 15:34:38
30.32144,open,19-05-2024 15:34:38
30.32144,open,19-05-2024 15:34:39
30.32144,open,19-05-2024 15:34:39
29.85327,open,19-05-2024 15:34:40
30.32144,open,19-05-2024 15:34:40
30.32144,open,19-05-2024 15:34:41
30.32144,open,19-05-2024 15:34:41
29.85327,open,19-05-2024 15:34:42
30.32144,open,19-05-2024 15:34:42
30.32144,open,19-05-2024 15:34:43
30.32144,open,19-05-2024 15:34:43
30.32144,open,19-05-2024 15:34:44
30.32144,open,19-05-2024 15:34:44
30.32144,open,19-05-2024 15:34:45
30.32144,open,19-05-2024 15:34:45
29.85327,open,19-05-2024 15:34:46
30.32144,open,19-05-2024 15:34:46
30.32144,open,19-05-2024 15:34:47
30.32144,open,19-05-2024 15:34:47
30.32144,open,19-05-2024 15:34:47
30.32144,open,19-05-2024 15:34:48
30.32144,open,19-05-2024 15:34:48
29.85327,open,19-05-2024 15:34:49
30.32144,open,19-05-2024 15:34:49
30.32144,open,19-05-2024 15:34:50
30.32144,open,19-05-2024 15:34:50
30.32144,open,19-05-2024 15:34:50
30.32144,open,19-05-2024 15:34:51
30.32144,open,19-05-2024 15:34:51
30.32144,open,19-05-2024 15:34:52
30.32144,open,19-05-2024 15:34:52
30.32144,open,19-05-2024 15:34:53
30.32144,open,19-05-2024 15:34:53
30.32144,open,19-05-2024 15:34:54
30.32144,open,19-05-2024 15:34:54
30.32144,open,19-05-2024 15:34:55
29.85327,open,19-05-2024 15:34:55
30.32144,open,19-05-2024 15:34:56
30.32144,open,19-05-2024 15:34:56
29.85327,open,19-05-2024 15:34:57
30.32144,open,19-05-2024 15:34:57
30.32144,open,19-05-2024 15:34:58
29.85327,open,19-05-2024 15:34:58
30.32144,open,19-05-2024 15:35:00
29.85327,open,19-05-2024 15:35:00
30.32144,open,19-05-2024 15:35:01
30.32144,open,19-05-2024 15:35:01
30.32144,open,19-05-2024 15:35:02
29.85327,open,19-05-2024 15:35:02
30.32144,open,19-05-2024 15:35:03
30.32144,open,19-05-2024 15:35:03
30.32144,open,19-05-2024 15:35:04
30.32144,open,19-05-2024 15:35:04
29.85327,open,19-05-2024 15:35:05
30.32144,open,19-05-2024 15:35:05
30.32144,open,19-05-2024 15:35:06
30.32144,open,19-05-2024 15:35:07
30.32144,open,19-05-2024 15:35:07
30.32144,open,19-05-2024 15:35:08
30.32144,open,19-05-2024 15:35:08
29.85327,open,19-05-2024 15:35:09
29.85327,open,19-05-2024 15:35:09
29.85327,open,19-05-2024 15:35:10
29.85327,open,19-05-2024 15:35:10
30.32144,open,19-05-2024 15:35:10
30.32144,open,19-05-2024 15:36:22
30.32144,open,19-05-2024 15:36:22
29.85327,open,19-05-2024 15:36:23
29.85327,open,19-05-2024 15:36:23
29.85327,open,19-05-2024 15:36:24
29.85327,open,19-05-2024 15:36:24
29.85327,open,19-05-2024 15:36:25
30.32144,open,19-05-2024 15:36:25
30.32144,open,19-05-2024 15:36:26
29.85327,open,19-05-2024 15:36:26
29.85327,open,19-05-2024 15:36:27
29.85327,open,19-05-2024 15:36:27
30.32144,open,19-05-2024 15:36:28
30.32144,open,19-05-2024 15:36:28
30.32144,open,19-05-2024 15:36:29
29.85327,open,19-05-2024 15:36:29
29.85327,open,19-05-2024 15:36:30
29.85327,open,19-05-2024 15:36:30
30.32144,open,19-05-2024 15:36:31
30.32144,open,19-05-2024 15:36:31
30.32144,open,19-05-2024 15:36:32
29.85327,open,19-05-2024 15:36:33
30.32144,open,19-05-2024 15:36:33
30.32144,open,19-05-2024 15:36:34
30.32144,open,19-05-2024 15:36:34
29.85327,open,19-05-2024 15:37:55
29.85327,open,19-05-2024 15:37:56
29.85327,open,19-05-2024 15:37:56
29.85327,open,19-05-2024 15:37:56
30.32144,open,19-05-2024 15:37:57
30.32144,open,19-05-2024 15:37:58
29.85327,open,19-05-2024 15:37:58
29.85327,open,19-05-2024 15:37:59
30.32144,open,19-05-2024 15:37:59
29.85327,open,19-05-2024 15:38:00
29.85327,open,19-05-2024 15:38:00
30.32144,open,19-05-2024 15:38:01
30.32144,open,19-05-2024 15:38:01
30.32144,open,19-05-2024 15:38:02
30.32144,open,19-05-2024 15:38:03
29.85327,open,19-05-2024 15:38:03
29.85327,open,19-05-2024 15:38:04
29.85327,open,19-05-2024 15:38:04
30.32144,open,19-05-2024 15:38:05
30.32144,open,19-05-2024 15:38:05
29.85327,open,19-05-2024 15:38:06
30.32144,open,19-05-2024 15:38:06
29.85327,open,19-05-2024 15:38:07
30.32144,open,19-05-2024 15:38:08
30.32144,open,19-05-2024 15:38:08
30.32144,open,19-05-2024 15:38:09
29.85327,open,19-05-2024 15:38:09
29.85327,open,19-05-2024 15:38:10
29.85327,open,19-05-2024 15:38:10
30.32144,open,19-05-2024 15:38:11
30.32144,open,19-05-2024 15:38:11
29.85327,open,19-05-2024 15:38:12
29.85327,open,19-05-2024 15:38:12
30.32144,open,19-05-2024 15:38:13
29.85327,open,19-05-2024 15:38:14
30.32144,open,19-05-2024 15:38:14
30.32144,open,19-05-2024 15:38:16
30.32144,open,19-05-2024 15:38:17
30.32144,open,19-05-2024 15:38:17
30.32144,open,19-05-2024 15:38:18
30.32144,open,19-05-2024 15:38:18
30.32144,open,19-05-2024 15:38:19
30.32144,open,19-05-2024 15:38:20
29.85327,open,19-05-2024 15:38:20
29.85327,open,19-05-2024 15:38:21
30.32144,open,19-05-2024 15:38:21
29.85327,open,19-05-2024 15:38:22
30.32144,open,19-05-2024 15:38:22
29.85327,open,19-05-2024 15:38:23
