temperature,door_state,date
41.08872,closed,19-05-2024 15:34:00
43.42948,closed,19-05-2024 15:34:00
43.42948,closed,19-05-2024 15:34:01
43.42948,closed,19-05-2024 15:34:02
43.42948,closed,19-05-2024 15:34:02
43.42948,closed,19-05-2024 15:34:03
43.42948,closed,19-05-2024 15:34:03
43.42948,closed,19-05-2024 15:34:04
43.42948,closed,19-05-2024 15:34:05
43.42948,closed,19-05-2024 15:34:05
43.42948,closed,19-05-2024 15:34:06
43.42948,closed,19-05-2024 15:34:07
43.42948,closed,19-05-2024 15:34:07
42.9613,closed,19-05-2024 15:34:08
43.42948,closed,19-05-2024 15:34:09
43.42948,closed,19-05-2024 15:34:09
43.42948,closed,19-05-2024 15:34:10
43.42948,closed,19-05-2024 15:34:12
43.42948,closed,19-05-2024 15:34:13
43.42948,closed,19-05-2024 15:34:14
43.42948,closed,19-05-2024 15:34:14
43.42948,closed,19-05-2024 15:34:15
43.89762,closed,19-05-2024 15:34:15
43.42948,closed,19-05-2024 15:34:16
43.42948,closed,19-05-2024 15:34:16
43.42948,closed,19-05-2024 15:34:17
43.42948,closed,19-05-2024 15:34:17
43.89762,closed,19-05-2024 15:34:18
43.42948,closed,19-05-2024 15:34:18
43.42948,closed,19-05-2024 15:34:19
43.89762,closed,19-05-2024 15:34:19
43.42948,closed,19-05-2024 15:34:20
43.42948,closed,19-05-2024 15:34:20
43.42948,closed,19-05-2024 15:34:21
42.9613,closed,19-05-2024 15:34:21
43.42948,closed,19-05-2024 15:34:22
43.42948,closed,19-05-2024 15:34:22
43.42948,closed,19-05-2024 15:34:23
43.42948,closed,19-05-2024 15:34:23
43.42948,closed,19-05-2024 15:34:24
43.89762,closed,19-05-2024 15:34:25
43.42948,closed,19-05-2024 15:34:25
43.42948,closed,19-05-2024 15:34:26
43.42948,closed,19-05-2024 15:34:26
43.42948,closed,19-05-2024 15:34:27
43.42948,closed,19-05-2024 15:34:27
43.89762,closed,19-05-2024 15:34:28
43.89762,closed,19-05-2024 15:34:28
43.42948,closed,19-05-2024 15:34:29
43.42948,closed,19-05-2024 15:34:29
43.42948,closed,19-05-2024 15:34:30
43.42948,closed,19-05-2024 15:34:30
43.89762,closed,19-05-2024 15:34:31
43.42948,closed,19-05-2024 15:34:31
43.89762,closed,19-05-2024 15:34:32
43.89762,closed,19-05-2024 15:34:32
43.89762,closed,19-05-2024 15:34:33
43.42948,closed,19-05-2024 15:34:33
43.42948,closed,19-05-2024 15:34:34
43.42948,closed,19-05-2024 15:34:34
43.42948,closed,19-05-2024 15:34:35
43.42948,closed,19-05-2024 15:34:35
43.42948,closed,19-05-2024 15:34:36
43.42948,closed,19-05-2024 15:34:36
43.42948,closed,19-05-2024 15:34:37
43.42948,closed,19-05-2024 15:34:37
43.42948,closed,19-05-2024 15:34:38
43.42948,closed,19-05-2024 15:34:38
43.42948,closed,19-05-2024 15:34:39
43.89762,closed,19-05-2024 15:34:39
43.42948,closed,19-05-2024 15:34:40
43.42948,closed,19-05-2024 15:34:40
42.9613,closed,19-05-2024 15:34:41
43.42948,closed,19-05-2024 15:34:41
43.89762,closed,19-05-2024 15:34:42
43.42948,closed,19-05-2024 15:34:42
43.42948,closed,19-05-2024 15:34:43
43.42948,closed,19-05-2024 15:34:43
43.42948,closed,19-05-2024 15:34:44
42.9613,closed,19-05-2024 15:34:45
43.42948,closed,19-05-2024 15:34:45
43.42948,closed,19-05-2024 15:34:46
43.42948,closed,19-05-2024 15:34:46
43.42948,closed,19-05-2024 15:34:46
43.42948,closed,19-05-2024 15:34:47
43.42948,closed,19-05-2024 15:34:47
43.42948,closed,19-05-2024 15:34:48
43.89762,closed,19-05-2024 15:34:48
43.42948,closed,19-05-2024 15:34:49
43.42948,closed,19-05-2024 15:34:49
43.42948,closed,19-05-2024 15:34:50
43.42948,closed,19-05-2024 15:34:50
43.89762,closed,19-05-2024 15:34:51
43.42948,closed,19-05-2024 15:34:51
43.42948,closed,19-05-2024 15:34:52
43.42948,closed,19-05-2024 15:34:52
43.42948,closed,19-05-2024 15:34:52
43.42948,closed,19-05-2024 15:34:53
43.42948,closed,19-05-2024 15:34:53
43.42948,closed,19-05-2024 15:34:54
43.89762,closed,19-05-2024 15:34:54
43.42948,closed,19-05-2024 15:34:55
43.89762,closed,19-05-2024 15:34:55
43.89762,closed,19-05-2024 15:34:56
43.89762,closed,19-05-2024 15:34:56
43.89762,closed,19-05-2024 15:34:57
43.42948,closed,19-05-2024 15:34:57
43.42948,closed,19-05-2024 15:34:58
43.89762,closed,19-05-2024 15:34:58
43.42948,closed,19-05-2024 15:34:59
43.42948,closed,19-05-2024 15:34:59
43.89762,closed,19-05-2024 15:35:00
43.89762,closed,19-05-2024 15:35:00
43.42948,closed,19-05-2024 15:35:01
43.89762,closed,19-05-2024 15:35:01
43.89762,closed,19-05-2024 15:35:02
43.89762,closed,19-05-2024 15:35:02
43.42948,closed,19-05-2024 15:35:03
43.89762,closed,19-05-2024 15:35:03
43.89762,closed,19-05-2024 15:35:04
43.42948,closed,19-05-2024 15:35:05
43.42948,closed,19-05-2024 15:35:05
43.42948,closed,19-05-2024 15:35:06
43.89762,closed,19-05-2024 15:35:06
43.42948,closed,19-05-2024 15:35:07
43.89762,closed,19-05-2024 15:35:07
43.89762,closed,19-05-2024 15:35:08
43.42948,closed,19-05-2024 15:35:08
43.42948,closed,19-05-2024 15:35:09
43.42948,closed,19-05-2024 15:35:09
43.89762,closed,19-05-2024 15:35:10
43.89762,closed,19-05-2024 15:35:10
43.42948,closed,19-05-2024 15:35:11
43.42948,closed,19-05-2024 15:36:22
43.42948,closed,19-05-2024 15:36:22
43.42948,closed,19-05-2024 15:36:23
43.42948,closed,19-05-2024 15:36:23
43.42948,closed,19-05-2024 15:36:24
43.42948,closed,19-05-2024 15:36:24
43.42948,closed,19-05-2024 15:36:25
43.42948,closed,19-05-2024 15:36:25
43.42948,closed,19-05-2024 15:36:26
43.42948,closed,19-05-2024 15:36:26
43.42948,closed,19-05-2024 15:36:26
43.42948,closed,19-05-2024 15:36:27
43.42948,closed,19-05-2024 15:36:27
43.42948,closed,19-05-2024 15:36:28
43.89762,closed,19-05-2024 15:36:28
43.42948,closed,19-05-2024 15:36:29
43.42948,closed,19-05-2024 15:36:29
43.42948,closed,19-05-2024 15:36:30
43.42948,closed,19-05-2024 15:36:30
43.42948,closed,19-05-2024 15:36:31
43.42948,closed,19-05-2024 15:36:31
43.42948,closed,19-05-2024 15:36:32
43.89762,closed,19-05-2024 15:36:33
43.42948,closed,19-05-2024 15:36:33
43.42948,closed,19-05-2024 15:36:34
43.42948,closed,19-05-2024 15:36:34
43.42948,closed,19-05-2024 15:37:55
43.89762,closed,19-05-2024 15:37:56
43.89762,closed,19-05-2024 15:37:56
43.42948,closed,19-05-2024 15:37:57
43.42948,closed,19-05-2024 15:37:57
43.89762,closed,19-05-2024 15:37:58
