temp,door,date
31.72584,closed,2024-05-17 15:27:00
34.0666,closed,2024-05-17 15:27:00
34.0666,closed,2024-05-17 15:27:01
34.0666,closed,2024-05-17 15:27:01
33.59842,closed,2024-05-17 15:27:02
33.59842,closed,2024-05-17 15:27:02
34.0666,closed,2024-05-17 15:27:03
34.0666,closed,2024-05-17 15:27:03
34.0666,closed,2024-05-17 15:27:04
34.0666,closed,2024-05-17 15:27:04
34.0666,closed,2024-05-17 15:27:05
34.0666,closed,2024-05-17 15:27:05
34.0666,closed,2024-05-17 15:27:06
34.0666,closed,2024-05-17 15:27:06
34.0666,closed,2024-05-17 15:27:07
34.0666,closed,2024-05-17 15:27:07
34.0666,closed,2024-05-17 15:27:08
34.0666,closed,2024-05-17 15:27:08
34.0666,closed,2024-05-17 15:27:09
34.0666,closed,2024-05-17 15:27:09
34.0666,closed,2024-05-17 15:27:10
34.0666,closed,2024-05-17 15:27:10
34.0666,closed,2024-05-17 15:27:11
34.0666,closed,2024-05-17 15:27:11
34.0666,closed,2024-05-17 15:27:12
34.53471,closed,2024-05-17 15:27:12
34.0666,closed,2024-05-17 15:27:13
34.53471,closed,2024-05-17 15:27:13
34.0666,closed,2024-05-17 15:27:44
35.00285,closed,2024-05-17 15:27:45
34.53471,closed,2024-05-17 15:27:45
35.00285,closed,2024-05-17 15:27:46
35.00285,closed,2024-05-17 15:27:46
35.00285,closed,2024-05-17 15:27:47
34.53471,closed,2024-05-17 15:27:47
35.00285,closed,2024-05-17 15:27:48
35.00285,closed,2024-05-17 15:27:48
34.53471,closed,2024-05-17 15:27:49
34.53471,closed,2024-05-17 15:27:49
35.00285,closed,2024-05-17 15:27:50
34.53471,closed,2024-05-17 15:27:50
35.00285,closed,2024-05-17 15:27:51
34.53471,closed,2024-05-17 15:27:51
35.00285,closed,2024-05-17 15:27:52
35.00285,closed,2024-05-17 15:27:52
34.53471,closed,2024-05-17 15:27:53
35.00285,closed,2024-05-17 15:27:53
35.00285,closed,2024-05-17 15:27:54
35.00285,closed,2024-05-17 15:27:54
35.00285,closed,2024-05-17 15:27:55
36.40728,closed,2024-05-17 16:22:37
39.21615,closed,2024-05-17 16:22:37
39.21615,closed,2024-05-17 16:22:38
39.21615,closed,2024-05-17 16:22:38
39.21615,closed,2024-05-17 16:22:39
39.68433,closed,2024-05-17 16:22:39
39.21615,closed,2024-05-17 16:22:40
39.21615,closed,2024-05-17 16:22:40
39.21615,closed,2024-05-17 16:22:40
39.21615,closed,2024-05-17 16:22:41
39.21615,closed,2024-05-17 16:22:41
39.21615,closed,2024-05-17 16:22:42
39.21615,closed,2024-05-17 16:22:42
39.21615,closed,2024-05-17 16:22:43
39.68433,closed,2024-05-17 16:22:43
39.21615,closed,2024-05-17 16:22:44
39.68433,closed,2024-05-17 16:22:44
39.21615,closed,2024-05-17 16:22:45
39.21615,closed,2024-05-17 16:22:45
39.21615,closed,2024-05-17 16:22:46
39.21615,closed,2024-05-17 16:22:46
39.68433,closed,2024-05-17 16:22:47
39.21615,closed,2024-05-17 16:22:47
39.21615,closed,2024-05-17 16:22:47
39.21615,closed,2024-05-17 16:22:48
39.21615,closed,2024-05-17 16:22:48
39.68433,closed,2024-05-17 16:22:49
39.21615,closed,2024-05-17 16:22:49
39.21615,closed,2024-05-17 16:22:55
39.68433,closed,2024-05-17 16:22:56
39.21615,closed,2024-05-17 16:22:56
39.68433,closed,2024-05-17 16:22:57
39.21615,closed,2024-05-17 16:22:57
39.21615,closed,2024-05-17 16:22:58
39.21615,closed,2024-05-17 16:22:58
39.68433,closed,2024-05-17 16:22:59
39.21615,closed,2024-05-17 16:22:59
39.21615,closed,2024-05-17 16:23:00
39.21615,closed,2024-05-17 16:23:00
39.21615,closed,2024-05-17 16:23:01
39.21615,closed,2024-05-17 16:23:01
39.21615,closed,2024-05-17 16:23:02
39.21615,closed,2024-05-17 16:23:02
39.21615,closed,2024-05-17 16:23:03
39.21615,closed,2024-05-17 16:23:03
39.21615,closed,2024-05-17 16:23:03
39.21615,closed,2024-05-17 16:23:04
39.68433,closed,2024-05-17 16:23:04
39.68433,closed,2024-05-17 16:23:05
39.21615,closed,2024-05-17 16:23:05
