temperature,door_state,date
28.91698,closed,22-05-2024 00:00:00
28.91698,closed,22-05-2024 00:00:00
28.91698,closed,22-05-2024 00:00:01
29.38512,closed,22-05-2024 00:00:01
28.91698,closed,22-05-2024 00:00:02
28.91698,closed,22-05-2024 00:00:02
28.91698,closed,22-05-2024 00:00:02
28.91698,closed,22-05-2024 00:00:03
28.91698,closed,22-05-2024 00:00:03
28.91698,closed,22-05-2024 00:00:04
28.91698,closed,22-05-2024 00:00:04
28.91698,closed,22-05-2024 00:00:05
28.91698,closed,22-05-2024 00:00:05
28.91698,closed,22-05-2024 00:00:06
28.91698,closed,22-05-2024 00:00:06
28.91698,closed,22-05-2024 00:00:06
28.91698,closed,22-05-2024 00:00:07
28.91698,closed,22-05-2024 00:00:07
28.91698,closed,22-05-2024 00:00:08
28.91698,closed,22-05-2024 00:00:08
28.91698,closed,22-05-2024 00:00:09
28.91698,closed,22-05-2024 00:00:09
28.91698,closed,22-05-2024 00:00:10
28.91698,closed,22-05-2024 00:00:10
28.91698,closed,22-05-2024 00:00:10
28.91698,closed,22-05-2024 00:00:11
28.91698,closed,22-05-2024 00:00:11
28.91698,closed,22-05-2024 00:00:12
28.91698,closed,22-05-2024 00:00:12
28.91698,closed,22-05-2024 00:00:13
28.91698,closed,22-05-2024 00:00:13
28.91698,closed,22-05-2024 00:00:13
28.91698,closed,22-05-2024 00:00:14
29.38512,closed,22-05-2024 00:00:14
28.91698,closed,22-05-2024 00:00:15
28.91698,closed,22-05-2024 00:00:15
28.91698,closed,22-05-2024 00:00:16
28.91698,closed,22-05-2024 00:00:16
28.91698,closed,22-05-2024 00:00:17
28.91698,closed,22-05-2024 00:00:17
28.91698,closed,22-05-2024 00:00:17
28.91698,closed,22-05-2024 00:00:18
28.91698,closed,22-05-2024 00:00:18
28.91698,closed,22-05-2024 00:00:19
28.91698,closed,22-05-2024 00:00:19
28.91698,closed,22-05-2024 00:00:19
28.44887,closed,22-05-2024 00:00:20
28.91698,closed,22-05-2024 00:00:20
28.91698,closed,22-05-2024 00:00:21
28.91698,closed,22-05-2024 00:00:21
28.91698,closed,22-05-2024 00:00:22
28.91698,closed,22-05-2024 00:00:22
28.91698,closed,22-05-2024 00:00:23
28.91698,closed,22-05-2024 00:00:23
28.91698,closed,22-05-2024 00:00:24
28.91698,closed,22-05-2024 00:00:24
29.85327,closed,22-05-2024 00:00:25
28.91698,closed,22-05-2024 00:00:25
28.91698,closed,22-05-2024 00:00:26
28.91698,closed,22-05-2024 00:00:26
28.91698,closed,22-05-2024 00:00:26
28.91698,closed,22-05-2024 00:00:27
28.91698,closed,22-05-2024 00:00:28
28.91698,closed,22-05-2024 00:00:28
28.91698,closed,22-05-2024 00:00:28
29.85327,closed,22-05-2024 00:00:29
28.91698,closed,22-05-2024 00:00:29
28.91698,closed,22-05-2024 00:00:30
28.91698,closed,22-05-2024 00:00:30
28.91698,closed,22-05-2024 00:00:31
28.91698,closed,22-05-2024 00:00:31
28.91698,closed,22-05-2024 00:00:32
28.91698,closed,22-05-2024 00:00:32
28.91698,closed,22-05-2024 00:00:33
29.85327,closed,22-05-2024 00:00:33
28.91698,closed,22-05-2024 00:00:34
28.91698,closed,22-05-2024 00:00:34
28.44887,closed,22-05-2024 00:00:35
28.91698,closed,22-05-2024 00:00:35
28.91698,closed,22-05-2024 00:00:36
28.91698,closed,22-05-2024 00:00:36
29.38512,closed,22-05-2024 00:00:37
28.91698,closed,22-05-2024 00:00:37
28.91698,closed,22-05-2024 00:00:38
29.85327,closed,22-05-2024 00:00:39
28.91698,closed,22-05-2024 00:00:39
28.44887,closed,22-05-2024 00:00:40
29.85327,closed,22-05-2024 00:00:40
28.91698,closed,22-05-2024 00:00:40
28.91698,closed,22-05-2024 00:00:41
28.91698,closed,22-05-2024 00:00:41
28.91698,closed,22-05-2024 00:00:42
28.91698,closed,22-05-2024 00:00:42
29.38512,closed,22-05-2024 00:00:43
28.91698,closed,22-05-2024 00:00:43
28.91698,closed,22-05-2024 00:00:44
28.91698,closed,22-05-2024 00:00:44
28.91698,closed,22-05-2024 00:00:44
29.85327,closed,22-05-2024 00:00:45
29.38512,closed,22-05-2024 00:00:45
28.91698,closed,22-05-2024 00:00:46
28.91698,closed,22-05-2024 00:00:46
28.91698,closed,22-05-2024 00:00:47
28.91698,closed,22-05-2024 00:00:47
29.38512,closed,22-05-2024 00:00:48
28.91698,closed,22-05-2024 00:00:48
28.91698,closed,22-05-2024 00:00:49
28.91698,closed,22-05-2024 00:00:49
29.38512,closed,22-05-2024 00:00:50
28.91698,closed,22-05-2024 00:00:50
28.91698,closed,22-05-2024 00:00:51
29.85327,closed,22-05-2024 00:00:51
28.91698,closed,22-05-2024 00:00:52
28.91698,closed,22-05-2024 00:00:52
29.38512,closed,22-05-2024 00:00:53
28.91698,closed,22-05-2024 00:00:53
28.91698,closed,22-05-2024 00:00:54
28.91698,closed,22-05-2024 00:00:54
28.91698,closed,22-05-2024 00:00:55
28.91698,closed,22-05-2024 00:00:55
28.91698,closed,22-05-2024 00:00:56
28.91698,closed,22-05-2024 00:00:56
28.91698,closed,22-05-2024 00:00:56
28.91698,closed,22-05-2024 00:00:57
28.44887,closed,22-05-2024 00:00:57
29.38512,closed,22-05-2024 00:00:58
28.91698,closed,22-05-2024 00:00:58
28.91698,closed,22-05-2024 00:00:59
28.91698,closed,22-05-2024 00:00:59
