temp,door,date
31.72584,closed,2024-05-17 15:02:58
31.72584,closed,2024-05-17 15:02:59
31.72584,closed,2024-05-17 15:02:59
31.72584,closed,2024-05-17 15:03:00
31.72584,closed,2024-05-17 15:03:00
31.72584,closed,2024-05-17 15:03:01
31.72584,closed,2024-05-17 15:03:01
31.72584,closed,2024-05-17 15:03:02
31.72584,closed,2024-05-17 15:03:02
31.72584,closed,2024-05-17 15:03:03
31.72584,closed,2024-05-17 15:03:03
31.72584,closed,2024-05-17 15:03:04
32.19402,closed,2024-05-17 15:03:04
31.72584,closed,2024-05-17 15:03:04
31.72584,closed,2024-05-17 15:03:05
31.72584,closed,2024-05-17 15:03:05
31.72584,closed,2024-05-17 15:03:06
31.72584,closed,2024-05-17 15:03:06
31.72584,closed,2024-05-17 15:03:07
31.72584,closed,2024-05-17 15:03:07
31.72584,closed,2024-05-17 15:03:08
31.72584,closed,2024-05-17 15:03:08
31.72584,closed,2024-05-17 15:03:08
32.19402,closed,2024-05-17 15:03:09
32.19402,closed,2024-05-17 15:03:09
31.72584,open,2024-05-17 15:03:10
31.72584,open,2024-05-17 15:03:10
31.72584,open,2024-05-17 15:03:11
32.19402,open,2024-05-17 15:03:12
31.72584,open,2024-05-17 15:03:12
31.72584,open,2024-05-17 15:03:12
31.2577,open,2024-05-17 15:03:13
31.72584,closed,2024-05-17 15:03:13
31.72584,closed,2024-05-17 15:03:14
31.72584,closed,2024-05-17 15:03:14
31.72584,closed,2024-05-17 15:03:15
32.19402,closed,2024-05-17 15:03:15
31.72584,closed,2024-05-17 15:03:16
31.72584,closed,2024-05-17 15:03:16
31.72584,closed,2024-05-17 15:03:17
31.72584,closed,2024-05-17 15:03:17
32.19402,closed,2024-05-17 15:03:18
32.19402,closed,2024-05-17 15:03:18
32.19402,closed,2024-05-17 15:03:19
31.72584,closed,2024-05-17 15:03:19
32.19402,closed,2024-05-17 15:03:20
31.72584,closed,2024-05-17 15:03:20
32.19402,closed,2024-05-17 15:03:20
31.72584,closed,2024-05-17 15:03:21
32.19402,closed,2024-05-17 15:03:21
31.72584,closed,2024-05-17 15:03:22
31.72584,closed,2024-05-17 15:03:22
32.19402,closed,2024-05-17 15:03:23
31.72584,closed,2024-05-17 15:03:23
31.72584,closed,2024-05-17 15:03:24
32.19402,closed,2024-05-17 15:03:24
32.19402,closed,2024-05-17 15:03:25
32.19402,closed,2024-05-17 15:03:26
32.19402,closed,2024-05-17 15:03:26
32.19402,closed,2024-05-17 15:03:27
32.19402,closed,2024-05-17 15:03:27
32.19402,closed,2024-05-17 15:03:28
32.19402,closed,2024-05-17 15:03:28
31.72584,closed,2024-05-17 15:03:29
31.72584,closed,2024-05-17 15:03:29
31.72584,closed,2024-05-17 15:03:30
32.19402,closed,2024-05-17 15:03:30
32.19402,closed,2024-05-17 15:03:30
31.72584,closed,2024-05-17 15:03:31
31.72584,closed,2024-05-17 15:03:31
32.19402,closed,2024-05-17 15:03:32
31.72584,closed,2024-05-17 15:03:32
31.72584,closed,2024-05-17 15:03:33
31.72584,closed,2024-05-17 15:03:33
31.72584,closed,2024-05-17 15:03:34
32.19402,closed,2024-05-17 15:03:34
31.72584,closed,2024-05-17 15:03:35
31.72584,closed,2024-05-17 15:03:35
31.72584,closed,2024-05-17 15:03:36
32.19402,closed,2024-05-17 15:03:36
31.72584,closed,2024-05-17 15:03:37
31.72584,closed,2024-05-17 15:03:37
31.72584,closed,2024-05-17 15:03:38
31.72584,closed,2024-05-17 15:03:38
32.19402,closed,2024-05-17 15:03:39
32.19402,closed,2024-05-17 15:03:39
31.72584,closed,2024-05-17 15:03:40
32.19402,closed,2024-05-17 15:03:40
31.72584,closed,2024-05-17 15:03:40
32.19402,closed,2024-05-17 15:03:41
32.19402,closed,2024-05-17 15:03:41
31.72584,closed,2024-05-17 15:03:42
32.19402,closed,2024-05-17 15:03:42
32.19402,closed,2024-05-17 15:03:43
32.19402,closed,2024-05-17 15:03:44
32.19402,closed,2024-05-17 15:03:44
32.19402,closed,2024-05-17 15:03:44
31.72584,closed,2024-05-17 15:03:45
31.72584,closed,2024-05-17 15:03:45
32.19402,closed,2024-05-17 15:03:46
32.19402,closed,2024-05-17 15:03:46
32.19402,closed,2024-05-17 15:03:47
32.19402,closed,2024-05-17 15:03:47
31.72584,closed,2024-05-17 15:03:48
31.72584,closed,2024-05-17 15:03:48
32.19402,closed,2024-05-17 15:03:49
32.19402,closed,2024-05-17 15:03:49
31.72584,closed,2024-05-17 15:03:49
32.19402,closed,2024-05-17 15:03:50
32.19402,closed,2024-05-17 15:03:50
32.19402,closed,2024-05-17 15:03:51
32.19402,closed,2024-05-17 15:03:51
32.19402,closed,2024-05-17 15:03:52
32.19402,closed,2024-05-17 15:03:52
32.19402,closed,2024-05-17 15:03:53
31.72584,closed,2024-05-17 15:03:53
32.19402,closed,2024-05-17 15:03:54
32.19402,closed,2024-05-17 15:03:54
32.19402,closed,2024-05-17 15:03:55
32.19402,closed,2024-05-17 15:03:55
32.19402,closed,2024-05-17 15:03:55
32.19402,closed,2024-05-17 15:03:56
31.72584,closed,2024-05-17 15:03:56
31.72584,closed,2024-05-17 15:03:57
31.72584,closed,2024-05-17 15:03:57
31.72584,closed,2024-05-17 15:03:58
31.72584,closed,2024-05-17 15:03:58
32.19402,closed,2024-05-17 15:03:58
32.19402,closed,2024-05-17 15:03:59
32.19402,closed,2024-05-17 15:03:59
32.19402,closed,2024-05-17 15:04:00
32.19402,closed,2024-05-17 15:04:00
32.19402,closed,2024-05-17 15:04:01
32.19402,closed,2024-05-17 15:04:01
32.19402,closed,2024-05-17 15:04:02
32.19402,closed,2024-05-17 15:04:02
32.19402,closed,2024-05-17 15:04:03
31.72584,closed,2024-05-17 15:04:04
32.19402,closed,2024-05-17 15:04:04
32.19402,closed,2024-05-17 15:04:04
32.19402,closed,2024-05-17 15:04:05
31.72584,closed,2024-05-17 15:04:05
32.19402,closed,2024-05-17 15:04:06
31.72584,closed,2024-05-17 15:04:06
32.19402,closed,2024-05-17 15:04:07
32.19402,closed,2024-05-17 15:04:07
32.19402,closed,2024-05-17 15:04:08
31.72584,closed,2024-05-17 15:04:08
32.19402,closed,2024-05-17 15:04:09
32.19402,closed,2024-05-17 15:04:09
32.19402,closed,2024-05-17 15:04:09
32.19402,closed,2024-05-17 15:04:10
32.19402,closed,2024-05-17 15:04:10
32.19402,closed,2024-05-17 15:04:11
32.19402,closed,2024-05-17 15:04:11
31.72584,closed,2024-05-17 15:04:12
31.72584,closed,2024-05-17 15:04:12
32.19402,closed,2024-05-17 15:04:13
31.72584,closed,2024-05-17 15:04:13
32.19402,closed,2024-05-17 15:04:14
32.19402,closed,2024-05-17 15:04:14
32.19402,closed,2024-05-17 15:04:15
32.19402,closed,2024-05-17 15:04:15
31.72584,closed,2024-05-17 15:04:16
32.19402,closed,2024-05-17 15:04:16
32.19402,closed,2024-05-17 15:04:17
32.19402,closed,2024-05-17 15:04:17
32.19402,closed,2024-05-17 15:04:18
32.19402,closed,2024-05-17 15:04:18
32.19402,closed,2024-05-17 15:04:19
32.19402,closed,2024-05-17 15:04:21
32.19402,closed,2024-05-17 15:04:22
32.19402,closed,2024-05-17 15:04:22
32.19402,closed,2024-05-17 15:04:23
32.19402,closed,2024-05-17 15:04:23
32.19402,closed,2024-05-17 15:04:24
32.19402,closed,2024-05-17 15:04:24
32.19402,closed,2024-05-17 15:04:25
29.85327,closed,2024-05-17 15:27:00
28.44887,closed,2024-05-17 15:27:00
31.72584,closed,2024-05-17 15:27:01
31.72584,closed,2024-05-17 15:27:01
31.72584,closed,2024-05-17 15:27:02
31.72584,closed,2024-05-17 15:27:02
31.72584,closed,2024-05-17 15:27:03
31.72584,closed,2024-05-17 15:27:03
31.2577,closed,2024-05-17 15:27:04
31.72584,closed,2024-05-17 15:27:04
31.72584,closed,2024-05-17 15:27:05
31.72584,closed,2024-05-17 15:27:05
31.72584,closed,2024-05-17 15:27:06
31.72584,closed,2024-05-17 15:27:06
31.72584,closed,2024-05-17 15:27:07
31.72584,closed,2024-05-17 15:27:07
31.72584,closed,2024-05-17 15:27:08
31.72584,closed,2024-05-17 15:27:08
31.72584,closed,2024-05-17 15:27:09
31.72584,closed,2024-05-17 15:27:09
31.72584,closed,2024-05-17 15:27:10
31.72584,closed,2024-05-17 15:27:10
31.72584,closed,2024-05-17 15:27:11
31.72584,closed,2024-05-17 15:27:11
31.72584,closed,2024-05-17 15:27:12
31.72584,closed,2024-05-17 15:27:12
31.72584,closed,2024-05-17 15:27:13
30.32144,closed,2024-05-17 16:22:38
30.78955,closed,2024-05-17 16:22:38
30.32144,closed,2024-05-17 16:22:39
30.32144,closed,2024-05-17 16:22:39
30.78955,closed,2024-05-17 16:22:40
30.32144,closed,2024-05-17 16:22:40
30.32144,closed,2024-05-17 16:22:41
30.32144,closed,2024-05-17 16:22:41
30.32144,closed,2024-05-17 16:22:42
30.78955,closed,2024-05-17 16:22:42
30.78955,closed,2024-05-17 16:22:43
30.32144,closed,2024-05-17 16:22:43
30.32144,closed,2024-05-17 16:22:44
30.78955,closed,2024-05-17 16:22:44
30.78955,closed,2024-05-17 16:22:45
30.78955,closed,2024-05-17 16:22:45
30.78955,closed,2024-05-17 16:22:45
30.78955,closed,2024-05-17 16:22:46
30.32144,closed,2024-05-17 16:22:46
30.78955,closed,2024-05-17 16:22:47
30.78955,closed,2024-05-17 16:22:47
30.78955,closed,2024-05-17 16:22:48
30.78955,closed,2024-05-17 16:22:48
30.32144,closed,2024-05-17 16:22:49
30.78955,closed,2024-05-17 16:22:49
30.78955,closed,2024-05-17 16:22:55
30.78955,closed,2024-05-17 16:22:56
30.78955,closed,2024-05-17 16:22:56
30.78955,closed,2024-05-17 16:22:57
30.78955,closed,2024-05-17 16:22:57
30.78955,closed,2024-05-17 16:22:58
30.78955,closed,2024-05-17 16:22:58
30.78955,closed,2024-05-17 16:22:59
30.78955,closed,2024-05-17 16:22:59
30.78955,closed,2024-05-17 16:23:00
30.78955,closed,2024-05-17 16:23:00
30.78955,closed,2024-05-17 16:23:01
30.78955,closed,2024-05-17 16:23:01
30.78955,closed,2024-05-17 16:23:02
30.78955,closed,2024-05-17 16:23:02
31.2577,closed,2024-05-17 16:23:03
31.2577,closed,2024-05-17 16:23:03
30.78955,closed,2024-05-17 16:23:04
30.78955,closed,2024-05-17 16:23:04
30.78955,closed,2024-05-17 16:23:05
30.78955,closed,2024-05-17 16:23:05
30.78955,closed,2024-05-17 16:23:06
30.78955,closed,2024-05-17 16:23:06
31.2577,closed,2024-05-17 16:23:07
30.78955,closed,2024-05-17 16:23:07
30.78955,closed,2024-05-17 16:23:07
30.78955,closed,2024-05-17 16:23:08
31.2577,closed,2024-05-17 16:23:08
31.2577,closed,2024-05-17 16:23:09
30.78955,closed,2024-05-17 16:23:09
30.78955,closed,2024-05-17 16:23:10
30.78955,closed,2024-05-17 16:23:10
31.2577,closed,2024-05-17 16:23:11
30.78955,closed,2024-05-17 16:23:11
30.78955,open,2024-05-17 16:23:12
30.78955,open,2024-05-17 16:23:12
30.78955,open,2024-05-17 16:23:13
31.2577,open,2024-05-17 16:23:13
30.78955,open,2024-05-17 16:23:14
30.78955,open,2024-05-17 16:23:14
30.78955,closed,2024-05-17 16:23:15
30.78955,closed,2024-05-17 16:23:16
30.78955,closed,2024-05-17 16:23:16
31.2577,closed,2024-05-17 16:23:17
30.78955,closed,2024-05-17 16:23:17
30.78955,closed,2024-05-17 16:23:17
31.2577,closed,2024-05-17 16:23:18
31.2577,closed,2024-05-17 16:23:19
30.78955,closed,2024-05-17 16:23:19
31.2577,closed,2024-05-17 16:23:20
30.78955,closed,2024-05-17 16:23:20
31.2577,closed,2024-05-17 16:23:20
30.78955,closed,2024-05-17 16:23:21
31.2577,closed,2024-05-17 16:23:21
31.2577,closed,2024-05-17 16:23:22
30.78955,closed,2024-05-17 16:23:22
30.78955,closed,2024-05-17 16:23:23
30.78955,closed,2024-05-17 16:23:23
30.78955,closed,2024-05-17 16:23:24
30.78955,closed,2024-05-17 16:23:24
31.2577,closed,2024-05-17 16:23:25
30.78955,closed,2024-05-17 16:23:25
30.78955,closed,2024-05-17 16:23:26
31.2577,closed,2024-05-17 16:23:26
31.2577,closed,2024-05-17 16:23:27
31.2577,closed,2024-05-17 16:23:27
31.2577,closed,2024-05-17 16:23:28
31.2577,closed,2024-05-17 16:23:28
31.2577,closed,2024-05-17 16:23:29
30.78955,closed,2024-05-17 16:23:29
30.78955,closed,2024-05-17 16:23:30
31.2577,closed,2024-05-17 16:23:30
31.2577,closed,2024-05-17 16:23:31
31.2577,closed,2024-05-17 16:23:31
31.2577,closed,2024-05-17 16:23:32
30.78955,closed,2024-05-17 16:23:32
31.2577,closed,2024-05-17 16:23:33
31.2577,closed,2024-05-17 16:23:33
31.2577,closed,2024-05-17 16:23:34
30.78955,closed,2024-05-17 16:23:34
31.2577,closed,2024-05-17 16:23:34
31.2577,closed,2024-05-17 16:23:35
31.2577,closed,2024-05-17 16:23:36
31.2577,closed,2024-05-17 16:23:36
31.2577,closed,2024-05-17 16:23:37
31.2577,closed,2024-05-17 16:23:37
31.2577,closed,2024-05-17 16:23:38
31.2577,closed,2024-05-17 16:23:38
31.2577,closed,2024-05-17 16:23:39
30.78955,closed,2024-05-17 16:23:39
30.78955,closed,2024-05-17 16:23:40
