temp,door,date
25.63997,open,2024-05-17 18:04:57
26.10811,open,2024-05-17 18:05:00
26.10811,open,2024-05-17 18:05:00
26.10811,open,2024-05-17 18:05:01
26.57626,open,2024-05-17 18:05:02
26.10811,open,2024-05-17 18:05:02
26.57626,open,2024-05-17 18:05:03
26.10811,open,2024-05-17 18:05:03
26.10811,open,2024-05-17 18:05:03
26.10811,open,2024-05-17 18:05:04
26.10811,open,2024-05-17 18:05:04
26.57626,open,2024-05-17 18:05:05
26.57626,open,2024-05-17 18:05:05
26.57626,open,2024-05-17 18:05:06
26.57626,open,2024-05-17 18:05:06
26.57626,open,2024-05-17 18:05:07
26.57626,open,2024-05-17 18:05:07
26.57626,open,2024-05-17 18:05:08
26.57626,open,2024-05-17 18:05:08
26.57626,open,2024-05-17 18:05:09
26.57626,open,2024-05-17 18:05:09
27.0444,open,2024-05-17 18:05:09
26.57626,open,2024-05-17 18:05:10
26.57626,open,2024-05-17 18:05:11
26.57626,open,2024-05-17 18:05:11
26.57626,open,2024-05-17 18:05:11
26.57626,open,2024-05-17 18:05:12
26.57626,open,2024-05-17 18:05:12
26.57626,open,2024-05-17 18:05:13
26.57626,open,2024-05-17 18:05:13
26.10811,open,2024-05-17 18:05:14
26.57626,open,2024-05-17 18:05:14
26.57626,open,2024-05-17 18:05:15
26.57626,open,2024-05-17 18:05:15
26.57626,open,2024-05-17 18:05:15
26.57626,open,2024-05-17 18:05:16
26.57626,open,2024-05-17 18:05:16
26.57626,open,2024-05-17 18:05:17
26.57626,open,2024-05-17 18:05:17
26.10811,open,2024-05-17 18:05:18
27.0444,open,2024-05-17 18:05:18
26.57626,open,2024-05-17 18:05:19
26.57626,open,2024-05-17 18:05:19
26.57626,open,2024-05-17 18:05:19
27.0444,open,2024-05-17 18:05:20
27.0444,open,2024-05-17 18:05:20
26.10811,open,2024-05-17 18:05:21
26.57626,open,2024-05-17 18:05:21
27.0444,open,2024-05-17 18:05:22
26.57626,open,2024-05-17 18:05:22
27.0444,open,2024-05-17 18:05:23
26.57626,open,2024-05-17 18:05:23
27.0444,open,2024-05-17 18:05:24
27.0444,open,2024-05-17 18:05:24
26.57626,closed,2024-05-17 18:05:25
27.0444,closed,2024-05-17 18:05:25
26.57626,closed,2024-05-17 18:05:26
26.57626,closed,2024-05-17 18:05:26
26.57626,closed,2024-05-17 18:05:27
26.57626,closed,2024-05-17 18:05:27
26.57626,closed,2024-05-17 18:05:27
27.0444,open,2024-05-17 18:05:28
26.57626,open,2024-05-17 18:05:28
27.0444,open,2024-05-17 18:05:29
26.57626,open,2024-05-17 18:05:29
27.0444,open,2024-05-17 18:05:30
27.0444,open,2024-05-17 18:05:30
26.57626,open,2024-05-17 18:05:31
27.0444,open,2024-05-17 18:05:31
26.57626,open,2024-05-17 18:05:32
27.0444,open,2024-05-17 18:05:32
27.0444,open,2024-05-17 18:05:33
27.0444,open,2024-05-17 18:05:33
27.0444,open,2024-05-17 18:05:34
27.0444,open,2024-05-17 18:05:34
26.57626,open,2024-05-17 18:05:35
27.0444,open,2024-05-17 18:05:35
27.0444,closed,2024-05-17 18:05:36
27.0444,closed,2024-05-17 18:05:36
27.0444,closed,2024-05-17 18:05:37
27.0444,closed,2024-05-17 18:05:37
27.0444,closed,2024-05-17 18:05:38
27.0444,closed,2024-05-17 18:05:38
27.0444,closed,2024-05-17 18:05:39
27.0444,closed,2024-05-17 18:05:39
27.0444,closed,2024-05-17 18:05:40
27.0444,closed,2024-05-17 18:05:40
27.0444,closed,2024-05-17 18:05:41
27.0444,closed,2024-05-17 18:05:41
27.0444,closed,2024-05-17 18:05:42
27.0444,closed,2024-05-17 18:05:42
27.0444,closed,2024-05-17 18:05:43
27.0444,closed,2024-05-17 18:05:43
27.0444,closed,2024-05-17 18:05:44
27.0444,closed,2024-05-17 18:05:44
27.0444,closed,2024-05-17 18:05:45
27.0444,closed,2024-05-17 18:05:45
27.0444,closed,2024-05-17 18:05:46
27.0444,closed,2024-05-17 18:05:46
27.51254,closed,2024-05-17 18:05:47
27.0444,closed,2024-05-17 18:05:47
27.51254,closed,2024-05-17 18:05:48
27.0444,closed,2024-05-17 18:05:48
27.0444,closed,2024-05-17 18:05:49
27.0444,closed,2024-05-17 18:05:49
27.51254,closed,2024-05-17 18:05:49
27.51254,closed,2024-05-17 18:05:50
27.0444,closed,2024-05-17 18:05:50
27.0444,closed,2024-05-17 18:05:51
27.0444,closed,2024-05-17 18:05:51
27.0444,closed,2024-05-17 18:05:52
27.0444,closed,2024-05-17 18:05:52
27.51254,closed,2024-05-17 18:05:53
27.51254,closed,2024-05-17 18:05:53
27.0444,closed,2024-05-17 18:05:54
27.0444,closed,2024-05-17 18:05:54
27.0444,closed,2024-05-17 18:05:55
27.0444,closed,2024-05-17 18:05:55
27.0444,closed,2024-05-17 18:05:56
27.51254,closed,2024-05-17 18:05:56
27.0444,closed,2024-05-17 18:05:57
27.0444,closed,2024-05-17 18:05:57
27.51254,closed,2024-05-17 18:05:58
27.0444,closed,2024-05-17 18:05:58
27.0444,closed,2024-05-17 18:05:58
27.0444,closed,2024-05-17 18:05:59
27.0444,closed,2024-05-17 18:05:59
27.0444,closed,2024-05-17 18:06:00
27.0444,closed,2024-05-17 18:06:01
27.51254,closed,2024-05-17 18:06:01
27.0444,closed,2024-05-17 18:06:02
27.0444,closed,2024-05-17 18:06:02
27.51254,closed,2024-05-17 18:06:03
27.0444,closed,2024-05-17 18:06:03
27.51254,closed,2024-05-17 18:06:04
27.0444,closed,2024-05-17 18:06:04
27.0444,closed,2024-05-17 18:06:05
27.0444,closed,2024-05-17 18:06:05
27.51254,closed,2024-05-17 18:06:06
27.0444,closed,2024-05-17 18:06:06
27.51254,closed,2024-05-17 18:06:07
27.0444,closed,2024-05-17 18:06:07
27.0444,closed,2024-05-17 18:06:08
27.51254,closed,2024-05-17 18:06:08
27.98069,closed,2024-05-17 18:06:09
27.51254,closed,2024-05-17 18:06:09
27.51254,closed,2024-05-17 18:06:10
27.51254,closed,2024-05-17 18:06:10
27.0444,closed,2024-05-17 18:06:11
27.51254,closed,2024-05-17 18:06:11
27.0444,closed,2024-05-17 18:06:12
27.51254,closed,2024-05-17 18:06:12
27.0444,closed,2024-05-17 18:06:13
27.51254,closed,2024-05-17 18:06:13
27.51254,closed,2024-05-17 18:06:14
27.51254,closed,2024-05-17 18:06:15
27.51254,closed,2024-05-17 18:06:15
27.51254,closed,2024-05-17 18:06:15
27.0444,closed,2024-05-17 18:06:16
27.51254,closed,2024-05-17 18:06:16
27.51254,closed,2024-05-17 18:06:17
27.51254,closed,2024-05-17 18:06:17
27.51254,closed,2024-05-17 18:06:18
27.51254,closed,2024-05-17 18:06:18
27.51254,closed,2024-05-17 18:06:19
27.51254,closed,2024-05-17 18:06:19
27.51254,closed,2024-05-17 18:06:20
27.51254,closed,2024-05-17 18:06:20
27.51254,closed,2024-05-17 18:06:21
27.51254,closed,2024-05-17 18:06:21
27.51254,closed,2024-05-17 18:06:22
27.51254,closed,2024-05-17 18:06:22
27.51254,closed,2024-05-17 18:06:23
27.51254,closed,2024-05-17 18:06:23
27.51254,closed,2024-05-17 18:06:23
27.98069,closed,2024-05-17 18:06:24
27.51254,closed,2024-05-17 18:06:24
27.51254,closed,2024-05-17 18:06:25
27.51254,closed,2024-05-17 18:06:25
27.51254,closed,2024-05-17 18:06:26
27.51254,closed,2024-05-17 18:06:26
27.51254,closed,2024-05-17 18:06:27
27.51254,closed,2024-05-17 18:06:27
27.51254,closed,2024-05-17 18:06:27
27.98069,closed,2024-05-17 18:06:28
27.51254,closed,2024-05-17 18:06:28
