temperature,door_state,date
28.91698,closed,21-05-2024 19:59:53
32.19402,closed,21-05-2024 20:00:50
32.19402,closed,21-05-2024 20:00:51
32.19402,closed,21-05-2024 20:00:51
32.19402,closed,21-05-2024 20:00:52
32.19402,closed,21-05-2024 20:00:52
32.19402,closed,21-05-2024 20:00:53
32.66213,closed,21-05-2024 20:00:53
32.19402,closed,21-05-2024 20:00:54
32.19402,closed,21-05-2024 20:00:55
32.19402,closed,21-05-2024 20:00:55
32.19402,closed,21-05-2024 20:00:56
32.19402,closed,21-05-2024 20:00:56
32.19402,closed,21-05-2024 20:00:57
32.19402,closed,21-05-2024 20:00:57
32.19402,closed,21-05-2024 20:00:58
32.19402,closed,21-05-2024 20:00:58
32.19402,closed,21-05-2024 20:00:59
32.66213,closed,21-05-2024 20:00:59
32.19402,closed,21-05-2024 20:00:59
32.19402,closed,21-05-2024 20:01:00
32.19402,closed,21-05-2024 20:01:00
32.19402,closed,21-05-2024 20:01:01
32.19402,closed,21-05-2024 20:01:01
32.19402,closed,21-05-2024 20:01:02
32.66213,closed,21-05-2024 20:01:02
32.19402,closed,21-05-2024 20:01:03
32.19402,closed,21-05-2024 20:01:03
32.66213,closed,21-05-2024 20:01:03
32.66213,closed,21-05-2024 20:01:04
32.19402,closed,21-05-2024 20:01:04
32.19402,closed,21-05-2024 20:01:05
32.19402,closed,21-05-2024 20:01:05
32.66213,closed,21-05-2024 20:01:06
32.19402,closed,21-05-2024 20:01:06
32.19402,closed,21-05-2024 20:01:07
32.19402,closed,21-05-2024 20:01:07
32.19402,closed,21-05-2024 20:01:08
32.19402,closed,21-05-2024 20:01:08
32.19402,closed,21-05-2024 20:01:09
32.19402,closed,21-05-2024 20:01:09
32.66213,closed,21-05-2024 20:01:10
32.66213,closed,21-05-2024 20:01:10
32.19402,closed,21-05-2024 20:01:11
32.19402,closed,21-05-2024 20:01:11
32.19402,closed,21-05-2024 20:01:12
32.66213,closed,21-05-2024 20:01:12
32.19402,closed,21-05-2024 20:01:13
32.66213,closed,21-05-2024 20:01:13
32.19402,closed,21-05-2024 20:01:14
32.19402,closed,21-05-2024 20:01:14
32.19402,closed,21-05-2024 20:01:15
32.19402,closed,21-05-2024 20:01:15
32.66213,closed,21-05-2024 20:01:16
32.19402,closed,21-05-2024 20:01:16
32.19402,closed,21-05-2024 20:01:17
32.19402,closed,21-05-2024 20:01:17
32.19402,closed,21-05-2024 20:01:18
32.19402,closed,21-05-2024 20:01:18
32.19402,closed,21-05-2024 20:01:19
32.19402,closed,21-05-2024 20:01:19
32.19402,closed,21-05-2024 20:01:20
32.19402,closed,21-05-2024 20:01:20
32.19402,closed,21-05-2024 20:01:20
32.66213,closed,21-05-2024 20:01:21
32.66213,closed,21-05-2024 20:01:21
32.19402,closed,21-05-2024 20:01:22
32.19402,closed,21-05-2024 20:01:22
32.66213,closed,21-05-2024 20:01:23
32.66213,closed,21-05-2024 20:01:23
32.66213,closed,21-05-2024 20:01:24
32.66213,closed,21-05-2024 20:01:24
32.19402,closed,21-05-2024 20:01:25
32.19402,closed,21-05-2024 20:01:25
32.66213,closed,21-05-2024 20:01:26
32.19402,closed,21-05-2024 20:01:26
32.19402,closed,21-05-2024 20:01:27
32.19402,closed,21-05-2024 20:01:28
32.19402,closed,21-05-2024 20:01:28
32.19402,closed,21-05-2024 20:01:29
32.19402,closed,21-05-2024 20:01:29
32.66213,closed,21-05-2024 20:01:30
32.66213,closed,21-05-2024 20:01:30
32.19402,closed,21-05-2024 20:01:30
31.72584,closed,21-05-2024 20:01:31
32.66213,closed,21-05-2024 20:01:32
32.19402,closed,21-05-2024 20:01:32
32.19402,closed,21-05-2024 20:01:32
32.66213,closed,21-05-2024 20:01:33
32.19402,closed,21-05-2024 20:01:33
32.19402,closed,21-05-2024 20:01:34
32.19402,closed,21-05-2024 20:01:34
32.19402,closed,21-05-2024 20:01:35
32.19402,closed,21-05-2024 20:01:35
32.66213,closed,21-05-2024 20:01:36
32.19402,closed,21-05-2024 20:01:36
32.19402,closed,21-05-2024 20:01:37
32.66213,closed,21-05-2024 20:01:37
32.66213,closed,21-05-2024 20:01:38
32.19402,closed,21-05-2024 20:01:38
32.66213,closed,21-05-2024 20:01:39
32.66213,closed,21-05-2024 20:01:39
32.19402,closed,21-05-2024 20:01:40
32.19402,closed,21-05-2024 20:01:40
32.19402,closed,21-05-2024 20:01:41
32.19402,closed,21-05-2024 20:01:41
32.66213,closed,21-05-2024 20:01:42
32.19402,closed,21-05-2024 20:01:42
32.19402,closed,21-05-2024 20:01:43
31.72584,closed,21-05-2024 20:01:43
32.66213,closed,21-05-2024 20:01:44
32.19402,closed,21-05-2024 20:01:44
32.19402,closed,21-05-2024 20:01:45
32.19402,closed,21-05-2024 20:01:45
32.19402,closed,21-05-2024 20:01:46
32.19402,closed,21-05-2024 20:01:46
32.19402,closed,21-05-2024 20:01:47
32.66213,closed,21-05-2024 20:01:47
32.66213,closed,21-05-2024 20:01:48
32.19402,closed,21-05-2024 20:01:48
32.66213,closed,21-05-2024 20:01:49
32.66213,closed,21-05-2024 20:01:49
32.66213,closed,21-05-2024 20:01:50
32.19402,closed,21-05-2024 20:01:50
32.66213,closed,21-05-2024 20:01:51
32.19402,closed,21-05-2024 20:01:51
32.19402,closed,21-05-2024 20:01:51
32.19402,closed,21-05-2024 20:01:52
32.66213,closed,21-05-2024 20:01:52
32.19402,closed,21-05-2024 20:01:53
32.66213,closed,21-05-2024 20:01:53
32.19402,closed,21-05-2024 20:01:54
32.19402,closed,21-05-2024 20:01:54
32.66213,closed,21-05-2024 20:01:55
32.19402,closed,21-05-2024 20:01:55
32.66213,closed,21-05-2024 20:01:56
32.19402,closed,21-05-2024 20:01:56
32.19402,closed,21-05-2024 20:01:57
32.19402,closed,21-05-2024 20:01:57
32.66213,closed,21-05-2024 20:01:58
32.66213,closed,21-05-2024 20:01:58
32.19402,closed,21-05-2024 20:01:59
32.19402,closed,21-05-2024 20:01:59
32.66213,closed,21-05-2024 20:02:00
32.19402,closed,21-05-2024 20:02:00
32.66213,closed,21-05-2024 20:02:01
32.66213,closed,21-05-2024 20:02:01
32.19402,closed,21-05-2024 20:02:02
31.72584,closed,21-05-2024 20:02:02
32.19402,closed,21-05-2024 20:02:03
32.66213,closed,21-05-2024 20:02:03
32.66213,closed,21-05-2024 20:02:04
32.66213,closed,21-05-2024 20:02:04
32.66213,closed,21-05-2024 20:02:05
32.66213,closed,21-05-2024 20:02:05
32.19402,closed,21-05-2024 20:02:06
32.66213,closed,21-05-2024 20:02:06
32.19402,closed,21-05-2024 20:02:07
32.66213,closed,21-05-2024 20:02:07
32.19402,closed,21-05-2024 20:02:08
32.66213,closed,21-05-2024 20:02:08
32.66213,closed,21-05-2024 20:02:09
32.66213,closed,21-05-2024 20:02:09
32.19402,closed,21-05-2024 20:02:10
32.66213,closed,21-05-2024 20:02:11
32.66213,closed,21-05-2024 20:02:11
32.19402,closed,21-05-2024 20:02:12
32.19402,closed,21-05-2024 20:02:12
32.66213,closed,21-05-2024 20:02:13
32.66213,closed,21-05-2024 20:02:13
32.19402,closed,21-05-2024 20:02:14
32.19402,closed,21-05-2024 20:02:14
32.19402,closed,21-05-2024 20:02:15
32.19402,closed,21-05-2024 20:02:15
32.19402,closed,21-05-2024 20:02:16
32.66213,closed,21-05-2024 20:02:16
32.66213,closed,21-05-2024 20:02:17
32.66213,closed,21-05-2024 20:02:17
32.19402,closed,21-05-2024 20:02:17
32.19402,closed,21-05-2024 20:02:18
32.19402,closed,21-05-2024 20:02:18
32.66213,closed,21-05-2024 20:02:19
32.66213,closed,21-05-2024 20:02:19
32.66213,closed,21-05-2024 20:02:20
