temperature,door_state,date
33.59842,open,24-05-2024 17:24:02
33.59842,open,24-05-2024 17:24:06
33.59842,open,24-05-2024 17:24:13
33.59842,open,24-05-2024 17:24:13
33.59842,open,24-05-2024 17:24:18
33.59842,open,24-05-2024 17:24:18
33.59842,open,24-05-2024 17:24:18
33.59842,open,24-05-2024 17:24:24
33.59842,open,24-05-2024 17:24:25
33.59842,open,24-05-2024 17:24:25
34.0666,open,24-05-2024 17:24:26
33.59842,open,24-05-2024 17:24:27
33.59842,open,24-05-2024 17:24:27
33.59842,open,24-05-2024 17:24:31
33.59842,open,24-05-2024 17:24:32
33.59842,open,24-05-2024 17:24:33
33.59842,open,24-05-2024 17:24:34
33.59842,open,24-05-2024 17:24:37
33.59842,open,24-05-2024 17:24:39
33.59842,open,24-05-2024 17:24:42
33.59842,open,24-05-2024 17:24:42
33.59842,open,24-05-2024 17:24:46
33.59842,open,24-05-2024 17:24:50
33.59842,open,24-05-2024 17:24:51
33.59842,open,24-05-2024 17:24:53
34.0666,open,24-05-2024 17:24:53
33.59842,open,24-05-2024 17:24:53
34.0666,open,24-05-2024 17:24:58
33.59842,open,24-05-2024 17:24:58
33.59842,open,24-05-2024 17:24:59
33.59842,open,24-05-2024 17:24:59
33.59842,open,24-05-2024 17:24:59
33.59842,open,24-05-2024 17:25:00
33.59842,open,24-05-2024 17:25:00
33.59842,open,24-05-2024 17:25:01
33.59842,open,24-05-2024 17:25:05
33.59842,open,24-05-2024 17:25:05
33.59842,open,24-05-2024 17:25:06
33.59842,open,24-05-2024 17:25:08
33.59842,open,24-05-2024 17:25:09
33.59842,open,24-05-2024 17:25:12
34.0666,open,24-05-2024 17:25:12
33.59842,open,24-05-2024 17:25:14
33.59842,open,24-05-2024 17:25:20
33.59842,open,24-05-2024 17:25:21
33.59842,open,24-05-2024 17:25:21
33.59842,open,24-05-2024 17:25:22
33.59842,open,24-05-2024 17:25:24
33.59842,open,24-05-2024 17:25:25
33.59842,open,24-05-2024 17:25:26
33.59842,open,24-05-2024 17:25:27
33.59842,open,24-05-2024 17:25:28
33.59842,open,24-05-2024 17:25:37
34.0666,open,24-05-2024 17:25:38
34.0666,open,24-05-2024 17:25:38
33.59842,open,24-05-2024 17:25:39
33.59842,open,24-05-2024 17:25:41
34.0666,open,24-05-2024 17:25:41
